"Open";"High";"Low";"Close";"Volume";"Day"
"2009-06-16";0.417434503842724;0.431276595744681;0.402195362604835;0.417842909332448;31807400;2009-06-16
"2009-06-17";0.418090871196332;0.432414980628498;0.398762886597938;0.417372881355932;41967950;2009-06-17
"2009-06-18";0.412225183211193;0.440265486725664;0.386103270795285;0.419940890125174;41317750;2009-06-18
"2009-06-19";0.416181731971206;0.438851820339438;0.395916147119126;0.409307776010714;50981600;2009-06-19
"2009-06-22";0.406027626622018;0.428256070640177;0.36348478532722;0.385877192982456;35150300;2009-06-22
"2009-06-23";0.384591293454432;0.414848745974874;0.3606718103926;0.387772688103769;46460400;2009-06-23
"2009-06-24";0.391145879633745;0.409249084249084;0.378264680105171;0.398742703188146;39050250;2009-06-24
"2009-06-25";0.395461694001348;0.424069167480128;0.391372725230285;0.413203955615395;33018150;2009-06-25
"2009-06-26";0.410902988797678;0.432654603864506;0.398618028447077;0.419925991849735;20791250;2009-06-26
"2009-06-29";0.422149898589689;0.429225036554879;0.402870813397129;0.410609305928998;17500400;2009-06-29
"2009-06-30";0.409172661870504;0.439666666666667;0.390815328532053;0.418596924245301;33411050;2009-06-30
"2009-07-01";0.414093648585999;0.426760563380282;0.397847533632287;0.409984187937655;19630600;2009-07-01
"2009-07-02";0.411692223439211;0.423932426091037;0.386171171171171;0.399879148461467;31928750;2009-07-02
"2009-07-03";0.397240612991342;0.409373235460192;0.390114942528736;0.401303538175046;20003550;2009-07-03
"2009-07-06";0.401790366125136;0.417231222385862;0.374151252634044;0.39192746417081;36008750;2009-07-06
"2009-07-07";0.391344161164393;0.407839294463498;0.371195144724556;0.382471441437171;53226300;2009-07-07
"2009-07-08";0.383450961304454;0.396830950714786;0.37347721822542;0.391271820448878;33371000;2009-07-08
"2009-07-09";0.39339683806294;0.410866222450026;0.379860467385471;0.395610522580972;33398800;2009-07-09
"2009-07-10";0.398395857657749;0.413253012048193;0.381482418416393;0.394754609192418;27493250;2009-07-10
"2009-07-13";0.3955487579769;0.427447227096294;0.372214225442994;0.395178926441352;49396150;2009-07-13
"2009-07-14";0.396310215237444;0.416161616161616;0.385204819277108;0.406433043829529;33331700;2009-07-14
"2009-07-15";0.403444339669462;0.425586034912718;0.390480769230769;0.408212560386473;30116250;2009-07-15
"2009-07-16";0.404285714285714;0.450890207715134;0.397867298578199;0.437874396135266;48809200;2009-07-16
"2009-07-17";0.436252959080149;0.461545983474307;0.408699220352893;0.423355655444455;69475400;2009-07-17
"2009-07-20";0.424855884889474;0.442682983358828;0.414808206958073;0.436393959047531;35962450;2009-07-20
